year,branded_skus,private_label_skus,total_skus,event,confidence,note
2010,1,0,1,Vital Farms only national pasture-raised brand,documented,Vital Farms founded 2007 · effective monopoly 2010-2014
2014,2,0,2,Pete & Gerry's launches Heritage Farm pasture-raised line,documented,Pete & Gerry's was prior organic free-range only
2017,3,0,3,Handsome Brook Farm scales national distribution,documented,Whole Foods + Sprouts placements
2018,4,0,4,Happy Egg Co adds pasture-raised SKU,estimated,Happy Egg already had cage-free; pasture-raised added later
2020,5,0,5,Alexandre Family Farm launches retail (was DTC-only),documented,Whole Foods initial placement
2021,6,1,7,KIRKLAND SIGNATURE PASTURE RAISED launches at Costco,documented,Largest single share-taker event · ~50% VITL price
2022,6,2,8,Whole Foods 365 Pasture Raised launches,documented,Private label at WF's largest premium-egg retailer
2024,7,2,9,Carol's Egg Co / regional brands expand national,estimated,Multiple smaller premium-egg brands gaining shelf space
2025,8,3,11,Aldi Simply Nature pasture-raised + Trader Joe's expansion,estimated,Discount + value-grocery channels join
2026,8,4,12,Sprouts private-label pasture-raised launches,estimated,Latest entrant · further price-point squeeze
