key,display_name,channel,priority,notes
whole_foods,Whole Foods,natural,core,Anchor account since 2010s
sprouts,Sprouts Farmers Market,natural,core,
target,Target,mass,core,Distribution expansion vector
kroger,Kroger,grocery,core,Largest grocery footprint
walmart,Walmart,mass,growth,Premium-tier penetration
costco,Costco,club,growth,Club-pack opportunity
publix,Publix,grocery,growth,Southeast US
trader_joes,Trader Joe's,natural,growth,Private-label competition risk
heb,H-E-B,grocery,growth,Texas
wegmans,Wegmans,grocery,growth,Northeast
amazon_fresh,Amazon Fresh,ecom,growth,
instacart,Instacart,ecom,core,Cross-banner ecom proxy
